entity,period,metric,value,unit,row_role,level,src_sheet,src_row,src_col,scale_applied,scale_source,raw_value,flags
서울특별시 > 남자 > 65 - 69세,2023,적용인구 (명),276335,,data,0,데이터,98,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 65 - 69세,2024,적용인구 (명),285967,,data,0,데이터,98,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 70 - 74세,2023,적용인구 (명),183327,,data,0,데이터,99,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 70 - 74세,2024,적용인구 (명),191896,,data,0,데이터,99,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 75 - 79세,2023,적용인구 (명),134889,,data,0,데이터,100,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 75 - 79세,2024,적용인구 (명),140716,,data,0,데이터,100,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 80 - 84세,2023,적용인구 (명),91259,,data,0,데이터,101,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 80 - 84세,2024,적용인구 (명),93779,,data,0,데이터,101,5,1,none,,DITTO_FILLED
서울특별시 > 남자 > 85세 이상,2023,적용인구 (명),49146,,data,0,데이터,102,4,1,none,,DITTO_FILLED
서울특별시 > 남자 > 85세 이상,2024,적용인구 (명),54716,,data,0,데이터,102,5,1,none,,DITTO_FILLED
서울특별시 > 여자 > 합계,2023,적용인구 (명),4897960,,subtotal,0,데이터,103,4,1,none,,DITTO_FILLED
서울특별시 > 여자 > 합계,2024,적용인구 (명),4889128,,subtotal,0,데이터,103,5,1,none,,DITTO_FILLED
서울특별시 > 여자 > 1 - 4세,2023,적용인구 (명),86167,,data,0,데이터,104,4,1,none,,DITTO_FILLED
서울특별시 > 여자 > 1 - 4세,2024,적용인구 (명),80633,,data,0,데이터,104,5,1,none,,DITTO_FILLED
서울특별시 > 여자 > 0세,2023,적용인구 (명),18574,,data,0,데이터,105,4,1,none,,DITTO_FILLED
서울특별시 > 여자 > 0세,2024,적용인구 (명),19537,,data,0,데이터,105,5,1,none,,DITTO_FILLED
